DTXSID,preferredName,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020103,Arsenic oxide (As2O3),1327-53-3,As2O3,197.827934,16,84,19,Active,35.7516566026924,1.78758283013462,29.0328114304279,1.46288909334463
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,48,680,7,Active,34.0887520934723,1.70443760467362,21.5942936932007,1.33433900369901
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,166,472,35,Active,62.6961960621213,3.13480980310606,6.64135878704154,0.822256942823292
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,341,737,46,Active,111.440456686014,5.57202283430069,10.6087123687858,1.02566267465848
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020282,"4-Chloro-1,3-diaminobenzene",5131-60-2,C6H7ClN2,142.029776,10,318,3,Active,29.7611569583917,1.48805784791959,25.2557429961195,1.40236014950124
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,183,438,42,Active,52.3233537927518,2.61616768963759,75.4943536179738,1.87791447104301
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020810,6-Mercaptopurine,50-44-2,C5H4N4S,152.015667,53,234,23,Active,68.9808760100022,3.44904380050011,17.6779045698049,1.2474307851282
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021125,Phenolphthalein,77-09-8,C20H14O4,318.089209,208,659,32,Active,80.1604734716955,4.00802367358478,20,1.30102999566398
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021385,Folpet,133-07-3,C9H4Cl3NO2S,294.902833,177,700,25,Active,66.198762298815,3.30993811494075,40,1.60205999132796
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021460,Zearalenone,17924-92-4,C18H22O5,318.146724,150,416,36,Active,70.185021833459,3.50925109167295,24.7629253361285,1.39380194819515
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021462,Zinc dibutyldithiocarbamate,136-23-2,C18H36N2S4Zn,472.105276,107,234,46,Active,111.42321444149,5.57116072207452,14.4657420174341,1.16034071560668
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021464,Ziram,137-30-4,C6H12N2S4Zn,303.917475,368,632,58,Active,99.0096074410208,4.95048037205104,9.26059078131735,0.966638693472636
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022220,"2,3,4,5-Tetrachlorophenol",4901-51-3,C6H2Cl4O,229.885976,74,234,32,Active,63.9685493426359,3.1984274671318,14.7398833921672,1.16849404781485
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022569,Alfacalcidol,41294-56-8,C27H44O2,400.334131,20,78,26,Active,76.8898238214812,3.84449119107406,24.5274395745618,1.38965221446497
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023030,Etizolam,40054-69-1,C17H15ClN4S,342.070595,17,234,7,Active,29.736609769787,1.48683048848935,17.3883826905626,1.24025918975268
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022692,Brotizolam,57801-81-7,C15H10BrClN4S,391.949808,9,78,12,Active,37.228556524969,1.86142782624845,6.83486035579018,0.83472964584908
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022721,Calcifediol,19356-17-3,C27H44O2,400.334131,34,78,44,Active,108.072965938875,5.40364829694376,14.51065407533,1.16168698893011
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022725,Candesartan,139481-59-7,C24H20N6O3,440.159689,33,234,14,Active,93.0277615189128,4.65138807594564,0.113553710046053,-0.944798671869553
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022777,Celecoxib,169590-42-5,C17H14F3N3O2S,381.075882,254,635,40,Active,80.1935936194215,4.00967968097108,66.0357948091358,1.81977940939185
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023296,Methylene blue,61-73-4,C16H18ClN3S,319.090997,162,375,43,Active,27.7470091129243,1.38735045564621,5.33942041153802E-05,-4.27250588262161
