SMILES,InChI,InChIKey,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MOL_FILE,Source_SDF_File
N/A,,,DTXSID1048122,DSSTox_Substance_Id,DTXSID1048122,Benzyl-C8-18-alkyldimethylammonium chlorides,63449-41-2,N/A,N/A,N/A,N/A,N/A,N/A,MOL_FILE,NVS_NR_mERa-ESR1.sdf
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N,DTXSID7020182,DSSTox_Substance_Id,DTXSID7020182,Bisphenol A,80-05-7,IISBACLAFKSPIT-UHFFFAOYSA-N,"4,4'-(Propane-2,2-diyl)diphenol","InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",C15H16O2,228.291,228.115029755,MOL_FILE,NVS_NR_mERa-ESR1.sdf
[Na+].CCCCCCCCCCCCCOS([O-])(=O)=O,"InChI=1S/C13H28O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-17-18(14,15)16;/h2-13H2,1H3,(H,14,15,16);/q;+1/p-1",HQCFDOOSGDZRII-UHFFFAOYSA-M,DTXSID4042418,DSSTox_Substance_Id,DTXSID4042418,Sodium tridecyl sulfate,3026-63-9,HQCFDOOSGDZRII-UHFFFAOYSA-M,Sodium tridecyl sulfate,"InChI=1S/C13H28O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-17-18(14,15)16;/h2-13H2,1H3,(H,14,15,16);/q;+1/p-1",C13H27NaO4S,302.4,302.1527748,MOL_FILE,NVS_NR_mERa-ESR1.sdf
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,"InChI=1S/C26H29NO2/c1-4-25(20-8-6-5-7-9-20)26(21-10-14-23(28)15-11-21)22-12-16-24(17-13-22)29-19-18-27(2)3/h5-17,28H,4,18-19H2,1-3H3",TXUZVZSFRXZGTL-UHFFFAOYSA-N,DTXSID3037094,DSSTox_Substance_Id,DTXSID3037094,4-Hydroxytamoxifen,68392-35-8,TXUZVZSFRXZGTL-UHFFFAOYSA-N,4-(1-{4-[2-(Dimethylamino)ethoxy]phenyl}-2-phenylbut-1-en-1-yl)phenol,"InChI=1S/C26H29NO2/c1-4-25(20-8-6-5-7-9-20)26(21-10-14-23(28)15-11-21)22-12-16-24(17-13-22)29-19-18-27(2)3/h5-17,28H,4,18-19H2,1-3H3",C26H29NO2,387.523,387.219829178,MOL_FILE,NVS_NR_mERa-ESR1.sdf
CCCOC(=O)C1=CC=C(O)C=C1,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",QELSKZZBTMNZEB-UHFFFAOYSA-N,DTXSID4022527,DSSTox_Substance_Id,DTXSID4022527,Propylparaben,94-13-3,QELSKZZBTMNZEB-UHFFFAOYSA-N,Propyl 4-hydroxybenzoate,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",C10H12O3,180.203,180.078644246,MOL_FILE,NVS_NR_mERa-ESR1.sdf
CCCCCCCCCCC(CO)CCCCCCCC,"InChI=1S/C20H42O/c1-3-5-7-9-11-12-14-16-18-20(19-21)17-15-13-10-8-6-4-2/h20-21H,3-19H2,1-2H3",LEACJMVNYZDSKR-UHFFFAOYSA-N,DTXSID3036288,DSSTox_Substance_Id,DTXSID3036288,2-Octyl-1-dodecanol,5333-42-6,LEACJMVNYZDSKR-UHFFFAOYSA-N,2-Octyldodecan-1-ol,"InChI=1/C20H42O/c1-3-5-7-9-11-12-14-16-18-20(19-21)17-15-13-10-8-6-4-2/h20-21H,3-19H2,1-2H3",C20H42O,298.555,298.323565972,MOL_FILE,NVS_NR_mERa-ESR1.sdf
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,"InChI=1S/C15H22O3/c1-3-5-6-12(4-2)11-18-15(17)13-7-9-14(16)10-8-13/h7-10,12,16H,3-6,11H2,1-2H3",VTIMKVIDORQQFA-UHFFFAOYSA-N,DTXSID4022525,DSSTox_Substance_Id,DTXSID4022525,2-Ethylhexyl p-hydroxybenzoate,5153-25-3,VTIMKVIDORQQFA-UHFFFAOYSA-N,2-Ethylhexyl 4-hydroxybenzoate,"InChI=1/C15H22O3/c1-3-5-6-12(4-2)11-18-15(17)13-7-9-14(16)10-8-13/h7-10,12,16H,3-6,11H2,1-2H3",C15H22O3,250.338,250.156894568,MOL_FILE,NVS_NR_mERa-ESR1.sdf
COCCO[Si](OCCOC)(OCCOC)C=C,"InChI=1S/C11H24O6Si/c1-5-18(15-9-6-12-2,16-10-7-13-3)17-11-8-14-4/h5H,1,6-11H2,2-4H3",WOXXJEVNDJOOLV-UHFFFAOYSA-N,DTXSID5027356,DSSTox_Substance_Id,DTXSID5027356,Tris(2-methoxyethoxy)vinylsilane,1067-53-4,WOXXJEVNDJOOLV-UHFFFAOYSA-N,"6-Ethenyl-6-(2-methoxyethoxy)-2,5,7,10-tetraoxa-6-silaundecane","InChI=1S/C11H24O6Si/c1-5-18(15-9-6-12-2,16-10-7-13-3)17-11-8-14-4/h5H,1,6-11H2,2-4H3",C11H24O6Si,280.392,280.134215028,MOL_FILE,NVS_NR_mERa-ESR1.sdf
Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,"InChI=1S/C25H29I2NO3.ClH/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3;/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3;1H",ITPDYQOUSLNIHG-UHFFFAOYSA-N,DTXSID7037185,DSSTox_Substance_Id,DTXSID7037185,Amiodarone hydrochloride,19774-82-4,ITPDYQOUSLNIHG-UHFFFAOYSA-N,"(2-Butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone--hydrogen chloride (1/1)","InChI=1S/C25H29I2NO3.ClH/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3;/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3;1H",C25H30ClI2NO3,681.78,681.00036,MOL_FILE,NVS_NR_mERa-ESR1.sdf
Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,"InChI=1S/C17H19ClN2S.ClH/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20;/h3-4,6-9,12H,5,10-11H2,1-2H3;1H",FBSMERQALIEGJT-UHFFFAOYSA-N,DTXSID7024827,DSSTox_Substance_Id,DTXSID7024827,Chlorpromazine hydrochloride,69-09-0,FBSMERQALIEGJT-UHFFFAOYSA-N,"3-(2-Chloro-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine--hydrogen chloride (1/1)","InChI=1S/C17H19ClN2S.ClH/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20;/h3-4,6-9,12H,5,10-11H2,1-2H3;1H",C17H20Cl2N2S,355.32,354.0724252,MOL_FILE,NVS_NR_mERa-ESR1.sdf
