SMILES,InChI,InChIKey,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MOL_FILE,Source_SDF_File
CC1=C(Cl)C=CC(O)=C1,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",CFKMVGJGLGKFKI-UHFFFAOYSA-N,DTXSID4021717,DSSTox_Substance_Id,DTXSID4021717,4-Chloro-3-methylphenol,59-50-7,CFKMVGJGLGKFKI-UHFFFAOYSA-N,4-Chloro-3-methylphenol,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",C7H7ClO,142.58,142.0185425,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,"InChI=1S/C26H29NO2/c1-4-25(20-8-6-5-7-9-20)26(21-10-14-23(28)15-11-21)22-12-16-24(17-13-22)29-19-18-27(2)3/h5-17,28H,4,18-19H2,1-3H3",TXUZVZSFRXZGTL-UHFFFAOYSA-N,DTXSID3037094,DSSTox_Substance_Id,DTXSID3037094,4-Hydroxytamoxifen,68392-35-8,TXUZVZSFRXZGTL-UHFFFAOYSA-N,4-(1-{4-[2-(Dimethylamino)ethoxy]phenyl}-2-phenylbut-1-en-1-yl)phenol,"InChI=1S/C26H29NO2/c1-4-25(20-8-6-5-7-9-20)26(21-10-14-23(28)15-11-21)22-12-16-24(17-13-22)29-19-18-27(2)3/h5-17,28H,4,18-19H2,1-3H3",C26H29NO2,387.523,387.219829178,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
CCCCCCCCCCCCN,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3",JRBPAEWTRLWTQC-UHFFFAOYSA-N,DTXSID3021984,DSSTox_Substance_Id,DTXSID3021984,1-Dodecanamine,124-22-1,JRBPAEWTRLWTQC-UHFFFAOYSA-N,Dodecan-1-amine,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3",C12H27N,185.355,185.214349873,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3,"InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",VWUXBMIQPBEWFH-WCCTWKNTSA-N,DTXSID4022369,DSSTox_Substance_Id,DTXSID4022369,Fulvestrant,129453-61-8,VWUXBMIQPBEWFH-WCCTWKNTSA-N,"7alpha-[9-(4,4,5,5,5-Pentafluoropentane-1-sulfinyl)nonyl]estra-1,3,5(10)-triene-3,17beta-diol","InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",C32H47F5O3S,606.78,606.316607362,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,"InChI=1S/2C8H16O2.Ba/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2",VJFFDDQGMMQGTQ-UHFFFAOYSA-L,DTXSID8044888,DSSTox_Substance_Id,DTXSID8044888,Barium bis(2-ethylhexanoate),2457-01-4,VJFFDDQGMMQGTQ-UHFFFAOYSA-L,Barium bis(2-ethylhexanoate),"InChI=1/2C8H16O2.Ba/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2",C16H30BaO4,423.739,424.119656,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
CCCCCCC=O,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",FXHGMKSSBGDXIY-UHFFFAOYSA-N,DTXSID0021597,DSSTox_Substance_Id,DTXSID0021597,Heptanal,111-71-7,FXHGMKSSBGDXIY-UHFFFAOYSA-N,Heptanal,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",C7H14O,114.188,114.104465071,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N,DTXSID4022367,DSSTox_Substance_Id,DTXSID4022367,Estrone,53-16-7,DNXHEGUUPJUMQT-CBZIJGRNSA-N,"3-Hydroxyestra-1,3,5(10)-trien-17-one","InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",C18H22O2,270.372,270.161979948,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
Cl.NC1=CC=CC=C1,"InChI=1S/C6H7N.ClH/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",MMCPOSDMTGQNKG-UHFFFAOYSA-N,DTXSID3020091,DSSTox_Substance_Id,DTXSID3020091,Aniline hydrochloride,142-04-1,MMCPOSDMTGQNKG-UHFFFAOYSA-N,Aniline--hydrogen chloride (1/1),"InChI=1S/C6H7N.ClH/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",C6H8ClN,129.59,129.034527,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
CC(C)=CC(C)=O,"InChI=1S/C6H10O/c1-5(2)4-6(3)7/h4H,1-3H3",SHOJXDKTYKFBRD-UHFFFAOYSA-N,DTXSID1029170,DSSTox_Substance_Id,DTXSID1029170,4-Methylpent-3-en-2-one,141-79-7,SHOJXDKTYKFBRD-UHFFFAOYSA-N,4-Methylpent-3-en-2-one,"InChI=1S/C6H10O/c1-5(2)4-6(3)7/h4H,1-3H3",C6H10O,98.145,98.073164942,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C2CCCC2)C=CC(=C1)C(=O)NC1CCN(C)CC1,"InChI=1S/C27H35F2N7O3/c1-34-12-10-18(11-13-34)31-24(37)17-8-9-20(22(14-17)39-3)32-26-30-15-21-23(33-26)36(19-6-4-5-7-19)16-27(28,29)25(38)35(21)2/h8-9,14-15,18-19H,4-7,10-13,16H2,1-3H3,(H,31,37)(H,30,32,33)",DJNZZLZKAXGMMC-UHFFFAOYSA-N,DTXSID4048511,DSSTox_Substance_Id,DTXSID4048511,Ro 3280,1062243-51-9,DJNZZLZKAXGMMC-UHFFFAOYSA-N,"4-[(9-Cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-yl)amino]-3-methoxy-N-(1-methylpiperidin-4-yl)benzamide","InChI=1S/C27H35F2N7O3/c1-34-12-10-18(11-13-34)31-24(37)17-8-9-20(22(14-17)39-3)32-26-30-15-21-23(33-26)36(19-6-4-5-7-19)16-27(28,29)25(38)35(21)2/h8-9,14-15,18-19H,4-7,10-13,16H2,1-3H3,(H,31,37)(H,30,32,33)",C27H35F2N7O3,543.62,543.276944341,MOL_FILE,OT_ER_ERbERb_1440-ESR2.sdf
