SMILES,InChI,InChIKey,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MOL_FILE,Source_SDF_File
[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O,"InChI=1S/C14H30O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-19(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",UPUIQOIQVMNQAP-UHFFFAOYSA-M,DTXSID4042416,DSSTox_Substance_Id,DTXSID4042416,Sodium myristyl sulfate,1191-50-0,UPUIQOIQVMNQAP-UHFFFAOYSA-M,Sodium tetradecyl sulfate,"InChI=1S/C14H30O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-19(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",C14H29NaO4S,316.43,316.16842487,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
N/A,,,DTXSID1048122,DSSTox_Substance_Id,DTXSID1048122,Benzyl-C8-18-alkyldimethylammonium chlorides,63449-41-2,N/A,N/A,N/A,N/A,N/A,N/A,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N,DTXSID7020182,DSSTox_Substance_Id,DTXSID7020182,Bisphenol A,80-05-7,IISBACLAFKSPIT-UHFFFAOYSA-N,"4,4'-(Propane-2,2-diyl)diphenol","InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",C15H16O2,228.291,228.115029755,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CC(=O)O[Hg]C1=CC=CC=C1,"InChI=1S/C6H5.C2H4O2.Hg/c1-2-4-6-5-3-1;1-2(3)4;/h1-5H;1H3,(H,3,4);/q;;+1/p-1",XEBWQGVWTUSTLN-UHFFFAOYSA-M,DTXSID7021150,DSSTox_Substance_Id,DTXSID7021150,Phenylmercuric acetate,62-38-4,XEBWQGVWTUSTLN-UHFFFAOYSA-M,(Acetato-kappaO)(phenyl)mercury,"InChI=1S/C6H5.C2H4O2.Hg/c1-2-4-6-5-3-1;1-2(3)4;/h1-5H;1H3,(H,3,4);/q;;+1/p-1",C8H8HgO2,336.74,338.023072,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,DTXSID6022391,DSSTox_Substance_Id,DTXSID6022391,Apigenin,520-36-5,KZNIFHPLKGYRTM-UHFFFAOYSA-N,"5,7-Dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",C15H10O5,270.24,270.052823422,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,"InChI=1S/C34H30N2O5/c1-23-29(36-33(41-23)26-12-6-3-7-13-26)20-21-40-27-18-16-24(17-19-27)22-31(34(38)39)35-30-15-9-8-14-28(30)32(37)25-10-4-2-5-11-25/h2-19,31,35H,20-22H2,1H3,(H,38,39)/t31-/m0/s1",ZZCHHVUQYRMYLW-HKBQPEDESA-N,DTXSID1047310,DSSTox_Substance_Id,DTXSID1047310,Farglitazar,196808-45-4,ZZCHHVUQYRMYLW-HKBQPEDESA-N,"N-(2-Benzoylphenyl)-O-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethyl]-L-tyrosine","InChI=1S/C34H30N2O5/c1-23-29(36-33(41-23)26-12-6-3-7-13-26)20-21-40-27-18-16-24(17-19-27)22-31(34(38)39)35-30-15-9-8-14-28(30)32(37)25-10-4-2-5-11-25/h2-19,31,35H,20-22H2,1H3,(H,38,39)/t31-/m0/s1",C34H30N2O5,546.623,546.215472074,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,"InChI=1S/C26H29NO2/c1-4-25(20-8-6-5-7-9-20)26(21-10-14-23(28)15-11-21)22-12-16-24(17-13-22)29-19-18-27(2)3/h5-17,28H,4,18-19H2,1-3H3",TXUZVZSFRXZGTL-UHFFFAOYSA-N,DTXSID3037094,DSSTox_Substance_Id,DTXSID3037094,4-Hydroxytamoxifen,68392-35-8,TXUZVZSFRXZGTL-UHFFFAOYSA-N,4-(1-{4-[2-(Dimethylamino)ethoxy]phenyl}-2-phenylbut-1-en-1-yl)phenol,"InChI=1S/C26H29NO2/c1-4-25(20-8-6-5-7-9-20)26(21-10-14-23(28)15-11-21)22-12-16-24(17-13-22)29-19-18-27(2)3/h5-17,28H,4,18-19H2,1-3H3",C26H29NO2,387.523,387.219829178,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCN(CC)C(=S)SSC(=S)N(CC)CC,"InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3",AUZONCFQVSMFAP-UHFFFAOYSA-N,DTXSID1021322,DSSTox_Substance_Id,DTXSID1021322,Tetraethylthiuram disulfide,97-77-8,AUZONCFQVSMFAP-UHFFFAOYSA-N,N/A,"InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3",C10H20N2S4,296.52,296.050933348,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCCCCCCCCCCCN,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3",JRBPAEWTRLWTQC-UHFFFAOYSA-N,DTXSID3021984,DSSTox_Substance_Id,DTXSID3021984,1-Dodecanamine,124-22-1,JRBPAEWTRLWTQC-UHFFFAOYSA-N,Dodecan-1-amine,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3",C12H27N,185.355,185.214349873,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCCOC(=O)C1=CC=C(O)C=C1,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",QELSKZZBTMNZEB-UHFFFAOYSA-N,DTXSID4022527,DSSTox_Substance_Id,DTXSID4022527,Propylparaben,94-13-3,QELSKZZBTMNZEB-UHFFFAOYSA-N,Propyl 4-hydroxybenzoate,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",C10H12O3,180.203,180.078644246,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3,"InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",VWUXBMIQPBEWFH-WCCTWKNTSA-N,DTXSID4022369,DSSTox_Substance_Id,DTXSID4022369,Fulvestrant,129453-61-8,VWUXBMIQPBEWFH-WCCTWKNTSA-N,"7alpha-[9-(4,4,5,5,5-Pentafluoropentane-1-sulfinyl)nonyl]estra-1,3,5(10)-triene-3,17beta-diol","InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",C32H47F5O3S,606.78,606.316607362,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCCCCCCOC(=O)C1=CC=C(O)C=C1,"InChI=1S/C14H20O3/c1-2-3-4-5-6-11-17-14(16)12-7-9-13(15)10-8-12/h7-10,15H,2-6,11H2,1H3",ZTJORNVITHUQJA-UHFFFAOYSA-N,DTXSID4022523,DSSTox_Substance_Id,DTXSID4022523,Heptyl p-hydroxybenzoate,1085-12-7,ZTJORNVITHUQJA-UHFFFAOYSA-N,Heptyl 4-hydroxybenzoate,"InChI=1S/C14H20O3/c1-2-3-4-5-6-11-17-14(16)12-7-9-13(15)10-8-12/h7-10,15H,2-6,11H2,1H3",C14H20O3,236.311,236.141244504,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,"InChI=1S/2C8H16O2.Ba/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2",VJFFDDQGMMQGTQ-UHFFFAOYSA-L,DTXSID8044888,DSSTox_Substance_Id,DTXSID8044888,Barium bis(2-ethylhexanoate),2457-01-4,VJFFDDQGMMQGTQ-UHFFFAOYSA-L,Barium bis(2-ethylhexanoate),"InChI=1/2C8H16O2.Ba/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2",C16H30BaO4,423.739,424.119656,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCCCCCCCC=CCCCCCCCC1=NCCN1CCO,"InChI=1S/C22H42N2O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-23-18-19-24(22)20-21-25/h9-10,25H,2-8,11-21H2,1H3",WGTDLPBPQKAPMN-UHFFFAOYSA-N,DTXSID2036112,DSSTox_Substance_Id,DTXSID2036112,2-(8-Heptadecenyl)-2-imidazoline-1-ethanol,95-38-5,WGTDLPBPQKAPMN-UHFFFAOYSA-N,"2-[2-(Heptadec-8-en-1-yl)-4,5-dihydro-1H-imidazol-1-yl]ethan-1-ol","InChI=1S/C22H42N2O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-23-18-19-24(22)20-21-25/h9-10,25H,2-8,11-21H2,1H3",C22H42N2O,350.591,350.32971398,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,"InChI=1S/C15H22O3/c1-3-5-6-12(4-2)11-18-15(17)13-7-9-14(16)10-8-13/h7-10,12,16H,3-6,11H2,1-2H3",VTIMKVIDORQQFA-UHFFFAOYSA-N,DTXSID4022525,DSSTox_Substance_Id,DTXSID4022525,2-Ethylhexyl p-hydroxybenzoate,5153-25-3,VTIMKVIDORQQFA-UHFFFAOYSA-N,2-Ethylhexyl 4-hydroxybenzoate,"InChI=1/C15H22O3/c1-3-5-6-12(4-2)11-18-15(17)13-7-9-14(16)10-8-13/h7-10,12,16H,3-6,11H2,1-2H3",C15H22O3,250.338,250.156894568,MOL_FILE,OT_ERa_GFPERaERE_0480-ESR1.sdf
