SMILES,InChI,InChIKey,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MOL_FILE,Source_SDF_File
Cl.Cl.ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,"InChI=1S/C22H30Cl2N10.2ClH/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18;;/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34);2*1H",WJLVQTJZDCGNJN-UHFFFAOYSA-N,DTXSID7047144,DSSTox_Substance_Id,DTXSID7047144,Chlorhexidine dihydrochloride,3697-42-5,WJLVQTJZDCGNJN-UHFFFAOYSA-N,"N,N''''-Hexane-1,6-diylbis[N'-(4-chlorophenyl)triimidodicarbonic diamide]--hydrogen chloride (1/2)","InChI=1S/C22H30Cl2N10.2ClH/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18;;/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34);2*1H",C22H32Cl4N10,578.37,576.1565519,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
OS(O)(=O)=O.CC(C)NNC(=O)C1=CC=NC=C1,"InChI=1S/C9H13N3O.H2O4S/c1-7(2)11-12-9(13)8-3-5-10-6-4-8;1-5(2,3)4/h3-7,11H,1-2H3,(H,12,13);(H2,1,2,3,4)",FYEMNIIBXSJOLP-UHFFFAOYSA-N,DTXSID8045852,DSSTox_Substance_Id,DTXSID8045852,Iproniazid sulfate,36504-56-0,FYEMNIIBXSJOLP-UHFFFAOYSA-N,Sulfuric acid--N'-(propan-2-yl)pyridine-4-carbohydrazide (1/1),"InChI=1S/C9H13N3O.H2O4S/c1-7(2)11-12-9(13)8-3-5-10-6-4-8;1-5(2,3)4/h3-7,11H,1-2H3,(H,12,13);(H2,1,2,3,4)",C9H15N3O5S,277.3,277.073241769,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
CCCCCCCCC=CCCCCCCCC1=NCCN1CCO,"InChI=1S/C22H42N2O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-23-18-19-24(22)20-21-25/h9-10,25H,2-8,11-21H2,1H3",WGTDLPBPQKAPMN-UHFFFAOYSA-N,DTXSID2036112,DSSTox_Substance_Id,DTXSID2036112,2-(8-Heptadecenyl)-2-imidazoline-1-ethanol,95-38-5,WGTDLPBPQKAPMN-UHFFFAOYSA-N,"2-[2-(Heptadec-8-en-1-yl)-4,5-dihydro-1H-imidazol-1-yl]ethan-1-ol","InChI=1S/C22H42N2O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-23-18-19-24(22)20-21-25/h9-10,25H,2-8,11-21H2,1H3",C22H42N2O,350.591,350.32971398,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
OC1(CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C(=C1)C(F)(F)F,"InChI=1S/C28H27ClF5NO/c29-26-12-7-21(18-25(26)28(32,33)34)27(36)13-16-35(17-14-27)15-1-2-24(19-3-8-22(30)9-4-19)20-5-10-23(31)11-6-20/h3-12,18,24,36H,1-2,13-17H2",MDLAAYDRRZXJIF-UHFFFAOYSA-N,DTXSID5049021,DSSTox_Substance_Id,DTXSID5049021,Penfluridol,26864-56-2,MDLAAYDRRZXJIF-UHFFFAOYSA-N,"1-[4,4-Bis(4-fluorophenyl)butyl]-4-[4-chloro-3-(trifluoromethyl)phenyl]piperidin-4-ol","InChI=1S/C28H27ClF5NO/c29-26-12-7-21(18-25(26)28(32,33)34)27(36)13-16-35(17-14-27)15-1-2-24(19-3-8-22(30)9-4-19)20-5-10-23(31)11-6-20/h3-12,18,24,36H,1-2,13-17H2",C28H27ClF5NO,523.97,523.170133,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CN=C(C=C1C1=CC=C(F)C=C1C)N1CC[C@@H](O)[C@H]1CO,"InChI=1S/C30H30F7N3O3/c1-16-9-20(31)5-6-21(16)22-13-26(40-8-7-25(42)24(40)15-41)38-14-23(22)39(4)27(43)28(2,3)17-10-18(29(32,33)34)12-19(11-17)30(35,36)37/h5-6,9-14,24-25,41-42H,7-8,15H2,1-4H3/t24-,25-/m1/s1",QOOXCQFWUYVSGU-JWQCQUIFSA-N,DTXSID4048513,DSSTox_Substance_Id,DTXSID4048513,PharmaGSID_48513,825643-57-0,QOOXCQFWUYVSGU-JWQCQUIFSA-N,"2-[3,5-Bis(trifluoromethyl)phenyl]-N-{4-(4-fluoro-2-methylphenyl)-6-[(2R,3R)-3-hydroxy-2-(hydroxymethyl)pyrrolidin-1-yl]pyridin-3-yl}-N,2-dimethylpropanamide","InChI=1S/C30H30F7N3O3/c1-16-9-20(31)5-6-21(16)22-13-26(40-8-7-25(42)24(40)15-41)38-14-23(22)39(4)27(43)28(2,3)17-10-18(29(32,33)34)12-19(11-17)30(35,36)37/h5-6,9-14,24-25,41-42H,7-8,15H2,1-4H3/t24-,25-/m1/s1",C30H30F7N3O3,613.577,613.217538979,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N,DTXSID4022367,DSSTox_Substance_Id,DTXSID4022367,Estrone,53-16-7,DNXHEGUUPJUMQT-CBZIJGRNSA-N,"3-Hydroxyestra-1,3,5(10)-trien-17-one","InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",C18H22O2,270.372,270.161979948,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
CCC1=CC=C(C=C1)S(O)(=O)=O,"InChI=1S/C8H10O3S/c1-2-7-3-5-8(6-4-7)12(9,10)11/h3-6H,2H2,1H3,(H,9,10,11)",BRIXOPDYGQCZFO-UHFFFAOYSA-N,DTXSID4046571,DSSTox_Substance_Id,DTXSID4046571,4-Ethylbenzenesulfonic acid,98-69-1,BRIXOPDYGQCZFO-UHFFFAOYSA-N,4-Ethylbenzene-1-sulfonic acid,"InChI=1S/C8H10O3S/c1-2-7-3-5-8(6-4-7)12(9,10)11/h3-6H,2H2,1H3,(H,9,10,11)",C8H10O3S,186.23,186.035065356,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"InChI=1S/C20H30O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h12,15-17,22H,4-11H2,1-3H3/t15-,16+,17+,18+,19+,20+/m1/s1",GCKMFJBGXUYNAG-HLXURNFRSA-N,DTXSID1033664,DSSTox_Substance_Id,DTXSID1033664,17-Methyltestosterone,58-18-4,GCKMFJBGXUYNAG-HLXURNFRSA-N,17beta-Hydroxy-17alpha-methylandrost-4-en-3-one,"InChI=1S/C20H30O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h12,15-17,22H,4-11H2,1-3H3/t15-,16+,17+,18+,19+,20+/m1/s1",C20H30O2,302.458,302.224580206,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,"InChI=1S/C21H26O3/c1-14(8-7-9-15(2)12-21(22)23)10-11-19-16(3)13-20(24-6)18(5)17(19)4/h7-13H,1-6H3,(H,22,23)/b9-7+,11-10+,14-8+,15-12+",IHUNBGSDBOWDMA-AQFIFDHZSA-N,DTXSID6022553,DSSTox_Substance_Id,DTXSID6022553,Acitretin,55079-83-9,IHUNBGSDBOWDMA-AQFIFDHZSA-N,"(2E,4E,6E,8E)-9-(4-Methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid","InChI=1S/C21H26O3/c1-14(8-7-9-15(2)12-21(22)23)10-11-19-16(3)13-20(24-6)18(5)17(19)4/h7-13H,1-6H3,(H,22,23)/b9-7+,11-10+,14-8+,15-12+",C21H26O3,326.436,326.188194697,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"InChI=1S/C20H28O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h6,9,12,15-17,22H,4-5,7-8,10-11H2,1-3H3/t15-,16+,17+,18+,19+,20+/m1/s1",XWALNWXLMVGSFR-HLXURNFRSA-N,DTXSID2023276,DSSTox_Substance_Id,DTXSID2023276,Methandrostenolone,72-63-9,XWALNWXLMVGSFR-HLXURNFRSA-N,"17beta-Hydroxy-17alpha-methylandrosta-1,4-dien-3-one","InChI=1S/C20H28O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h6,9,12,15-17,22H,4-5,7-8,10-11H2,1-3H3/t15-,16+,17+,18+,19+,20+/m1/s1",C20H28O2,300.442,300.208930142,MOL_FILE,CCD-Batch-Search_2025-07-19_12_25_26.sdf
