SMILES,InChI,InChIKey,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MOL_FILE,Source_SDF_File
Cl.Cl.ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,"InChI=1S/C22H30Cl2N10.2ClH/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18;;/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34);2*1H",WJLVQTJZDCGNJN-UHFFFAOYSA-N,DTXSID7047144,DSSTox_Substance_Id,DTXSID7047144,Chlorhexidine dihydrochloride,3697-42-5,WJLVQTJZDCGNJN-UHFFFAOYSA-N,"N,N''''-Hexane-1,6-diylbis[N'-(4-chlorophenyl)triimidodicarbonic diamide]--hydrogen chloride (1/2)","InChI=1S/C22H30Cl2N10.2ClH/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18;;/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34);2*1H",C22H32Cl4N10,578.37,576.1565519,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
CC(C)OC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,"InChI=1S/C17H16Cl2O3/c1-11(2)22-16(20)17(21,12-3-7-14(18)8-4-12)13-5-9-15(19)10-6-13/h3-11,21H,1-2H3",AXGUBXVWZBFQGA-UHFFFAOYSA-N,DTXSID5041778,DSSTox_Substance_Id,DTXSID5041778,Chloropropylate,5836-10-2,AXGUBXVWZBFQGA-UHFFFAOYSA-N,Propan-2-yl bis(4-chlorophenyl)(hydroxy)acetate,"InChI=1S/C17H16Cl2O3/c1-11(2)22-16(20)17(21,12-3-7-14(18)8-4-12)13-5-9-15(19)10-6-13/h3-11,21H,1-2H3",C17H16Cl2O3,339.21,338.0476498,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
COP(=O)(OC)OC(=CCl)C1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C10H9Cl4O4P/c1-16-19(15,17-2)18-10(5-11)6-3-8(13)9(14)4-7(6)12/h3-5H,1-2H3",UBCKGWBNUIFUST-UHFFFAOYSA-N,DTXSID1021320,DSSTox_Substance_Id,DTXSID1021320,Tetrachlorovinphos,961-11-5,UBCKGWBNUIFUST-UHFFFAOYSA-N,"2-Chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl phosphate","InChI=1S/C10H9Cl4O4P/c1-16-19(15,17-2)18-10(5-11)6-3-8(13)9(14)4-7(6)12/h3-5H,1-2H3",C10H9Cl4O4P,365.95,363.8992566,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
ClC1=NC=CC(NC(=O)NC2=CC=CC=C2)=C1,"InChI=1S/C12H10ClN3O/c13-11-8-10(6-7-14-11)16-12(17)15-9-4-2-1-3-5-9/h1-8H,(H2,14,15,16,17)",GPXLRLUVLMHHIK-UHFFFAOYSA-N,DTXSID1034634,DSSTox_Substance_Id,DTXSID1034634,Forchlorfenuron,68157-60-8,GPXLRLUVLMHHIK-UHFFFAOYSA-N,N-(2-Chloropyridin-4-yl)-N'-phenylurea,"InChI=1S/C12H10ClN3O/c13-11-8-10(6-7-14-11)16-12(17)15-9-4-2-1-3-5-9/h1-8H,(H2,14,15,16,17)",C12H10ClN3O,247.68,247.0512397,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3,"InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",VWUXBMIQPBEWFH-WCCTWKNTSA-N,DTXSID4022369,DSSTox_Substance_Id,DTXSID4022369,Fulvestrant,129453-61-8,VWUXBMIQPBEWFH-WCCTWKNTSA-N,"7alpha-[9-(4,4,5,5,5-Pentafluoropentane-1-sulfinyl)nonyl]estra-1,3,5(10)-triene-3,17beta-diol","InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",C32H47F5O3S,606.78,606.316607362,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
N/A,,,DTXSID5049023,DSSTox_Substance_Id,DTXSID5049023,Potassium antimony(III) tartrate hydrate,331753-56-1,N/A,N/A,N/A,N/A,N/A,N/A,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
OC(=O)\C=C/C(O)=O.CN1CCN(CC1)C1CC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,"InChI=1S/C19H21ClN2S.C4H4O4/c1-21-8-10-22(11-9-21)17-12-14-4-2-3-5-18(14)23-19-7-6-15(20)13-16(17)19;5-3(6)1-2-4(7)8/h2-7,13,17H,8-12H2,1H3;1-2H,(H,5,6)(H,7,8)/b;2-1-",GWKBZIADWSOIQV-BTJKTKAUSA-N,DTXSID6045791,DSSTox_Substance_Id,DTXSID6045791,Octoclothepine maleate,4789-68-8,GWKBZIADWSOIQV-BTJKTKAUSA-N,"(2Z)-But-2-enedioic acid--1-(8-chloro-10,11-dihydrodibenzo[b,f]thiepin-10-yl)-4-methylpiperazine (1/1)","InChI=1/C19H21ClN2S.C4H4O4/c1-21-8-10-22(11-9-21)17-12-14-4-2-3-5-18(14)23-19-7-6-15(20)13-16(17)19;5-3(6)1-2-4(7)8/h2-7,13,17H,8-12H2,1H3;1-2H,(H,5,6)(H,7,8)/b;2-1-",C23H25ClN2O4S,460.97,460.1223562,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)N=C=S)C=C1,InChI=1S/C13H8N2O3S/c16-15(17)11-3-7-13(8-4-11)18-12-5-1-10(2-6-12)14-9-19/h1-8H,SVMGVZLUIWGYPH-UHFFFAOYSA-N,DTXSID9048772,DSSTox_Substance_Id,DTXSID9048772,Nitroscanate,19881-18-6,SVMGVZLUIWGYPH-UHFFFAOYSA-N,1-Isothiocyanato-4-(4-nitrophenoxy)benzene,InChI=1S/C13H8N2O3S/c16-15(17)11-3-7-13(8-4-11)18-12-5-1-10(2-6-12)14-9-19/h1-8H,C13H8N2O3S,272.28,272.0255633,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
CN1C(=O)N(CC2=CN=C(NC3=CC4=C(OC(CO)CO4)C=C3)N=C12)C1=CC=CC=C1Br,"InChI=1S/C22H20BrN5O4/c1-27-20-13(10-28(22(27)30)17-5-3-2-4-16(17)23)9-24-21(26-20)25-14-6-7-18-19(8-14)31-12-15(11-29)32-18/h2-9,15,29H,10-12H2,1H3,(H,24,25,26)",KCIDXSZMKJKCSV-UHFFFAOYSA-N,DTXSID4048519,DSSTox_Substance_Id,DTXSID4048519,PharmaGSID_48519,686756-87-6,KCIDXSZMKJKCSV-UHFFFAOYSA-N,"3-(2-Bromophenyl)-7-{[2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]amino}-1-methyl-3,4-dihydropyrimido[4,5-d]pyrimidin-2(1H)-one","InChI=1/C22H20BrN5O4/c1-27-20-13(10-28(22(27)30)17-5-3-2-4-16(17)23)9-24-21(26-20)25-14-6-7-18-19(8-14)31-12-15(11-29)32-18/h2-9,15,29H,10-12H2,1H3,(H,24,25,26)",C22H20BrN5O4,498.337,497.069867,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC(Cl)=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C(Cl)=C1,"InChI=1S/C20H9Cl3F5N3O3/c21-10-5-9(30-19(33)31-17(32)15-13(24)2-1-3-14(15)25)6-11(22)16(10)34-18-12(23)4-8(7-29-18)20(26,27)28/h1-7H,(H2,30,31,32,33)",UISUNVFOGSJSKD-UHFFFAOYSA-N,DTXSID5041772,DSSTox_Substance_Id,DTXSID5041772,Chlorfluazuron,71422-67-8,UISUNVFOGSJSKD-UHFFFAOYSA-N,"N-[(3,5-Dichloro-4-{[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxy}phenyl)carbamoyl]-2,6-difluorobenzamide","InChI=1S/C20H9Cl3F5N3O3/c21-10-5-9(30-19(33)31-17(32)15-13(24)2-1-3-14(15)25)6-11(22)16(10)34-18-12(23)4-8(7-29-18)20(26,27)28/h1-7H,(H2,30,31,32,33)",C20H9Cl3F5N3O3,540.65,538.9629651,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
OC1(CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C(=C1)C(F)(F)F,"InChI=1S/C28H27ClF5NO/c29-26-12-7-21(18-25(26)28(32,33)34)27(36)13-16-35(17-14-27)15-1-2-24(19-3-8-22(30)9-4-19)20-5-10-23(31)11-6-20/h3-12,18,24,36H,1-2,13-17H2",MDLAAYDRRZXJIF-UHFFFAOYSA-N,DTXSID5049021,DSSTox_Substance_Id,DTXSID5049021,Penfluridol,26864-56-2,MDLAAYDRRZXJIF-UHFFFAOYSA-N,"1-[4,4-Bis(4-fluorophenyl)butyl]-4-[4-chloro-3-(trifluoromethyl)phenyl]piperidin-4-ol","InChI=1S/C28H27ClF5NO/c29-26-12-7-21(18-25(26)28(32,33)34)27(36)13-16-35(17-14-27)15-1-2-24(19-3-8-22(30)9-4-19)20-5-10-23(31)11-6-20/h3-12,18,24,36H,1-2,13-17H2",C28H27ClF5NO,523.97,523.170133,MOL_FILE,CCD-Batch-Search_2025-07-19_12_28_49.sdf
